occupations	name
2419	Accountant of Court (Scotland)
2421	Accountant-secretary (coal mine) 
2462	Accreditor 
9139	Acetoner 
8114	Acidifier 
2129	Acoustician (professional)
5319	Acoustician 
3413	Acrobat 
3413	Actor 
3413	Actor-manager 
2425	Actuary 
2229	Acupuncturist (medically qualified)
3219	Acupuncturist 
3531	Adjudicator, claims 
2462	Adjudicator (national insurance regulations)
3520	Adjudicator (Home Office) 
3531	Adjudicator (insurance) 
3531	Adjuster, average 
5223	Adjuster, brake 
3531	Adjuster, claims 
5224	Adjuster, compass 
8133	Adjuster, dial (telephone mfr) 
8121	Adjuster, envelope 
8129	Adjuster, lift 
3531	Adjuster, loss 
8121	Adjuster, machine (paper goods mfr) 
5223	Adjuster, machine (textile mfr) 
5249	Adjuster, relay 
5223	Adjuster, spring, set 
5231	Adjuster, unit 
8129	Adjuster, weight 
5224	Adjuster (instruments)
5231	Adjuster (motor vehicles)
5223	Adjuster (scales)
8133	Adjuster (telephones)
5224	Adjuster (watches, clocks)
5223	Adjuster (weighing machines)
1171	Adjutant 
1171	Adjutant-General 
4129	Administrator, account 
4122	Administrator, accounts 
2429	Administrator, arts 
4129	Administrator, bonus 
4159	Administrator, business 
4159	Administrator, catering 
4114	Administrator, charity 
4159	Administrator, church 
3239	Administrator, circuit 
4132	Administrator, claim (insurance) 
4159	Administrator, clerical 
4211	Administrator, clinic 
2317	Administrator, college 
4159	Administrator, commercial 
3539	Administrator, committee 
3131	Administrator, computer 
4131	Administrator, conference 
4131	Administrator, contract 
3541	Administrator, contracts, purchasing 
4151	Administrator, contracts, sales 
4121	Administrator, control, credit 
4129	Administrator, cost 
4138	Administrator, course 
4131	Administrator, court 
4131	Administrator, courts 
4114	Administrator, covenant 
4217	Administrator, data 
3131	Administrator, database 
4134	Administrator, distribution 
2317	Administrator, education (further education, higher education) 
4138	Administrator, education (health service) 
4113	Administrator, electoral 
4131	Administrator, export 
4114	Administrator, faculty 
4129	Administrator, finance 
4129	Administrator, financial 
4134	Administrator, fleet, car 
4134	Administrator, fleet 
3537	Administrator, fund 
6148	Administrator, funeral 
3132	Administrator, helpdesk 
4122	Administrator, holding, fund 
3561	Administrator, hospital 
2421	Administrator, insolvency (qualified)
3537	Administrator, insolvency 
4132	Administrator, insurance 
3131	Administrator, internet 
4133	Administrator, inventory 
3532	Administrator, investment 
3131	Administrator, IT 
4122	Administrator, ledger 
4212	Administrator, legal 
4131	Administrator, letter (PO) 
4132	Administrator, life (insurance) 
4121	Administrator, loans 
4134	Administrator, logistics 
4151	Administrator, marketing 
4211	Administrator, medical 
4129	Administrator, mortgage 
3131	Administrator, network 
4151	Administrator, office, sales 
4213	Administrator, office, school 
4159	Administrator, office 
4151	Administrator, order, sales 
4159	Administrator, parish 
4133	Administrator, parts 
4122	Administrator, pay 
4122	Administrator, payroll 
4132	Administrator, pensions 
4138	Administrator, personnel 
3539	Administrator, PMO 
4131	Administrator, practice 
4131	Administrator, procurement 
4133	Administrator, production 
3539	Administrator, project 
4131	Administrator, purchase 
4131	Administrator, purchasing 
4159	Administrator, QA 
4159	Administrator, quality 
4138	Administrator, recruitment 
2429	Administrator, registration, senior (Land Registry) 
4138	Administrator, resources, human 
4151	Administrator, retail 
4151	Administrator, sales 
4213	Administrator, school 
7219	Administrator, service, customer 
4159	Administrator, service 
4129	Administrator, services, financial 
4134	Administrator, services, fleet 
4159	Administrator, services 
4134	Administrator, shipping 
4133	Administrator, stock 
4133	Administrator, stores 
4151	Administrator, support, sales 
4211	Administrator, surgery, GP 
4132	Administrator, surrenders (insurance) 
3532	Administrator, swaps 
3131	Administrator, system 
3131	Administrator, systems 
4131	Administrator, technical 
4138	Administrator, training 
4134	Administrator, transport 
3539	Administrator, trial, clinical 
3539	Administrator, trials, clinical 
3537	Administrator, trust (banking) 
2317	Administrator, university 
4122	Administrator, wages 
4131	Administrator, ward 
4133	Administrator, warehouse 
4159	Administrator, warranty 
4114	Administrator (charitable organisation)
4112	Administrator (armed forces) 
4112	Administrator (government) 
2317	Administrator (higher education, university) 
3561	Administrator (hospital service) 
4132	Administrator (insurance) 
3121	Administrator (local government: town planning) 
4113	Administrator (local government) 
4113	Administrator (police service) 
4138	Administrator (recruitment agency) 
4213	Administrator (schools) 
4114	Administrator (trade union) 
4138	Administrator (training agency) 
4159	Administrator 
4159	Administrator-receptionist 
1171	Admiral 
1171	Admiral of the Fleet 
3543	Advertiser 
2318	Adviser, academic 
3113	Adviser, aeronautical 
2112	Adviser, agricultural 
3416	Adviser, art 
3416	Adviser, arts 
3539	Adviser, ballot 
4123	Adviser, banking, telephone 
4123	Adviser, banking 
6222	Adviser, beauty 
4113	Adviser, benefit (local government) 
4112	Adviser, benefits (government) 
4113	Adviser, benefits (local government) 
3239	Adviser, benefits 
4123	Adviser, branch (bank) 
4123	Adviser, branch (building society) 
2423	Adviser, business 
7219	Adviser, care, customer 
3564	Adviser, careers 
5436	Adviser, catering 
3539	Adviser, cellar (catering) 
7211	Adviser, centre, call 
7211	Adviser, centre, contact 
3239	Adviser, cessation, smoking 
4132	Adviser, claim (insurance) 
4112	Adviser, claimant 
4132	Adviser, claims, personal 
4112	Adviser, claims (government) 
7211	Adviser, communications (telecommunications) 
2141	Adviser, conservation 
3565	Adviser, consumer (local government: trading standards) 
7219	Adviser, consumer 
3539	Adviser, contract 
2141	Adviser, countryside 
2449	Adviser, court, family 
2318	Adviser, curriculum 
7112	Adviser, customer (checkout)
9251	Adviser, customer (shelf filling)
7211	Adviser, customer (telephone)
4123	Adviser, customer (bank) 
4123	Adviser, customer (building society) 
7111	Adviser, customer (retail trade) 
7219	Adviser, customer 
4112	Adviser, deal, new 
3235	Adviser, debt 
2318	Adviser, development, curriculum 
3563	Adviser, development, employee 
2423	Adviser, development, management 
3563	Adviser, development, training 
3219	Adviser, diet 
4121	Adviser, difficulties, financial 
2425	Adviser, economic 
2318	Adviser, education 
4112	Adviser, employment (government) 
3562	Adviser, employment 
3531	Adviser, energy 
3422	Adviser, fashion 
3534	Adviser, financial 
2113	Adviser, geological 
2219	Adviser, health, occupational 
2219	Adviser, health, public 
2219	Adviser, health, sexual 
3239	Adviser, health 
3567	Adviser, health and safety 
7114	Adviser, healthcare (retail chemist) 
2129	Adviser, heating (professional)
5314	Adviser, heating 
2112	Adviser, horticultural 
3234	Adviser, housing 
2318	Adviser, improvement, school 
4132	Adviser, insurance 
3534	Adviser, investment 
2419	Adviser, legal, court 
2419	Adviser, legal 
7211	Adviser, lines, personal 
3412	Adviser, literary 
3534	Adviser, loans, financial 
7211	Adviser, management, customer 
4121	Adviser, management, debt 
2423	Adviser, management 
3539	Adviser, marine 
2211	Adviser, medical 
7129	Adviser, membership 
3534	Adviser, mortgage 
2219	Adviser, nurse, health, occupational 
2231	Adviser, nurse 
2219	Adviser, occupational health and wellbeing 
7114	Adviser, optical 
7115	Adviser, parts (retail trade) 
3534	Adviser, pension 
3534	Adviser, pensions 
4112	Adviser, personal, deal, new 
3564	Adviser, personal (careers service) 
3562	Adviser, personnel 
4123	Adviser, phonebank 
2432	Adviser, planning, county 
3534	Adviser, planning, financial 
3562	Adviser, policy, equalities 
2429	Adviser, policy (government) 
2429	Adviser, policy (local government) 
3539	Adviser, political 
2112	Adviser, poultry 
2472	Adviser, PR 
2213	Adviser, prescribing 
3313	Adviser, prevention, fire 
2127	Adviser, production 
3239	Adviser, promotion, health 
2113	Adviser, protection, radiation 
3562	Adviser, recruitment 
7219	Adviser, relations, customer 
3562	Adviser, relations, industrial 
2472	Adviser, relations, public 
3565	Adviser, relations, race 
3562	Adviser, resources, human 
7211	Adviser, retention, sales 
3239	Adviser, rights, welfare 
3567	Adviser, safety 
7115	Adviser, sales, car 
7129	Adviser, sales, inbound (insurance) 
7113	Adviser, sales, inbound 
7129	Adviser, sales, insurance 
7114	Adviser, sales, optical 
6212	Adviser, sales, travel 
7115	Adviser, sales, vehicle 
7113	Adviser, sales (telephone sales)
4123	Adviser, sales (bank) 
4123	Adviser, sales (building society) 
7129	Adviser, sales (insurance) 
7111	Adviser, sales 
2119	Adviser, scientific 
4112	Adviser, security, social 
9241	Adviser, security 
4123	Adviser, service, customer (bank) 
4123	Adviser, service, customer (building society) 
7211	Adviser, service, customer (call centre) 
7111	Adviser, service, customer (retail, wholesale trade) 
7219	Adviser, service, customer 
3542	Adviser, service, home (gas supplier) 
4216	Adviser, service (garage) 
7219	Adviser, service 
4123	Adviser, services, customer (bank) 
4123	Adviser, services, customer (building society) 
7219	Adviser, services, customer 
3534	Adviser, services, financial 
2423	Adviser, services, management 
3239	Adviser, services, student 
3239	Adviser, smoking, stop 
2425	Adviser, statistical 
3239	Adviser, student 
3233	Adviser, support, parent 
2135	Adviser, systems 
3535	Adviser, tax 
3535	Adviser, taxation 
2319	Adviser, teaching, years, early (local government, social inclusion dept) 
2421	Adviser, technical (accountancy)
3132	Adviser, technical (computing)
3542	Adviser, technical (sales)
5231	Adviser, technical (garage) 
3534	Adviser, technical (insurance) 
3113	Adviser, technical 
4123	Adviser, telebanking 
7113	Adviser, telemarketing 
7211	Adviser, telephone 
7113	Adviser, telesales 
2129	Adviser, textile 
3567	Adviser, toxicology 
3539	Adviser, traffic 
3563	Adviser, training 
3539	Adviser, transport 
6212	Adviser, travel 
3535	Adviser, VAT 
3239	Adviser, welfare 
2319	Adviser, years, early 
2112	Adviser (agricultural)
2419	Adviser (law)
3543	Adviser (marketing)
3239	Adviser (Citizens Advice Bureau) 
4112	Adviser (Jobcentre Plus) 
2318	Adviser (local government: education dept) 
}}}}	Advisor 
3239	Advocate, carers 
2412	Advocate, crown 
7219	Advocate, customer 
3239	Advocate, health, mental 
3239	Advocate, home, care 
3239	Advocate, IMCA 
3563	Advocate, learning 
2412	Advocate, legal 
2429	Advocate, policy 
3239	Advocate, student 
3239	Advocate (welfare services) 
2412	Advocate 
3413	Aerialist 
2113	Aerodynamicist 
5441	Aerographer 
6222	Aesthetician, medical 
3542	Agent, agricultural 
7121	Agent, assurance 
7129	Agent, bank 
3539	Agent, bloodstock 
6212	Agent, booking (travel agents) 
7129	Agent, brewer's 
7129	Agent, brewery 
1122	Agent, builder's 
3542	Agent, business 
3541	Agent, buying 
4134	Agent, cargo, airport 
4134	Agent, cargo 
7211	Agent, centre, call 
7211	Agent, centre, contact 
7111	Agent, cleaner's, dry 
7121	Agent, club 
7122	Agent, collecting 
7122	Agent, collection, data 
1123	Agent, colliery 
3539	Agent, commercial 
3539	Agent, commission (farm produce)
3542	Agent, commission (manufactured goods)
3539	Agent, commission (raw materials)
3542	Agent, commission (commission agents) 
7129	Agent, commission (insurance) 
3542	Agent, commission (manufacturing) 
6211	Agent, commission (turf accountants) 
3542	Agent, commission (wholesale, retail trade) 
7129	Agent, company's, tug 
3416	Agent, concert 
1122	Agent, contractor's 
7121	Agent, credit 
4135	Agent, cutting, press 
9211	Agent, delivery 
7121	Agent, district (insurance) 
7111	Agent, dyer's 
3539	Agent, election 
7129	Agent, emigration 
9242	Agent, enforcement, civil 
3542	Agent, engineer's 
1122	Agent, engineering, civil 
7211	Agent, enquiry 
3416	Agent, entertainment 
3544	Agent, estate 
3536	Agent, export 
5111	Agent, farm 
3416	Agent, film 
3534	Agent, financial 
7129	Agent, foreign 
7129	Agent, forwarding 
7129	Agent, general 
6214	Agent, handling, passenger 
7129	Agent, hire, car 
7129	Agent, hiring, film 
3544	Agent, house 
3536	Agent, import 
3536	Agent, import-export 
7121	Agent, insurance 
3544	Agent, land 
3544	Agent, land and estate 
7111	Agent, laundry 
2419	Agent, law 
3543	Agent, leasing (car hire)
9249	Agent, legal 
3544	Agent, letting 
3412	Agent, literary 
5111	Agent, livestock 
3532	Agent, Lloyd's 
3542	Agent, manufacturer's 
3543	Agent, marketing 
7129	Agent, mercantile 
3532	Agent, metal 
1123	Agent, mine 
3416	Agent, model 
3416	Agent, model's 
3534	Agent, money 
3534	Agent, mortgage 
7129	Agent, naturalisation 
1254	Agent, news 
1254	Agent, newspaper 
4134	Agent, operations, cargo 
3539	Agent, parliamentary 
3539	Agent, party (political party) 
6214	Agent, passenger 
7129	Agent, passport 
2129	Agent, patent 
3539	Agent, political 
7122	Agent, pools, football 
3520	Agent, precognition 
2472	Agent, press 
3544	Agent, property 
2472	Agent, publicity 
3542	Agent, publisher's 
3541	Agent, purchasing 
7129	Agent, railway 
8233	Agent, ramp 
7111	Agent, receiving, laundry 
3544	Agent, relocation 
7129	Agent, rental, car 
6214	Agent, reservation, airline 
6212	Agent, reservation 
7219	Agent, reservations (hotel) 
6212	Agent, reservations 
7121	Agent, sales, insurance 
7113	Agent, sales, telephone 
3542	Agent, sales 
9241	Agent, security 
6214	Agent, service, customer, airline 
6214	Agent, service, customer (travel)
6214	Agent, service, passenger 
8233	Agent, service, ramp 
6214	Agent, service (airlines) 
6214	Agent, services, customer (travel)
7219	Agent, services, customer 
6214	Agent, services, passenger 
3536	Agent, ship's 
3536	Agent, shipping 
3544	Agent, site (agricultural estate)
1122	Agent, site 
3442	Agent, sports 
1123	Agent, surface 
7113	Agent, telemarketing 
7113	Agent, telesales 
3542	Agent, textile 
3416	Agent, theatrical 
6212	Agent, tourist 
9241	Agent, trace 
3539	Agent, trademark 
7129	Agent, traffic (canals) 
3563	Agent, training 
3544	Agent, transfer, business 
6212	Agent, travel, business 
6212	Agent, travel 
3533	Agent, underwriter's 
3416	Agent, variety 
3544	Agent, viewing 
3543	Agent (advertising)
3544	Agent (agricultural estate)
7121	Agent (assurance)
7121	Agent (insurance)
3542	Agent (manufacturer's)
6212	Agent (travel)
1122	Agent (building construction) 
7121	Agent (door-to-door sales) 
7121	Agent (mail order house) 
3542	Agent (manufacturing) 
1123	Agent (mining) 
7129	Agent (party plan sales) 
7121	Agent (wholesale, retail trade: credit trade) 
3542	Agent (wholesale, retail trade) 
7121	Agent and collector (insurance) 
3544	Agent and valuer, land 
7122	Agent-collector 
5111	Agriculturist 
2112	Agroclimatologist 
2112	Agronomist 
2112	Agrostologist 
6145	Aid, care 
2449	Aid, family 
6145	Aid, home 
3111	Aid, laboratory 
6141	Aid, nurse's 
6125	Aid, teacher's 
6125	Aid, teaching 
6141	Aid (hospital service) 
6145	Aide, care 
2472	Aide, communications 
2449	Aide, family 
6145	Aide, home 
3111	Aide, laboratory 
6141	Aide, nurse's 
6125	Aide, teacher's 
6125	Aide, teaching 
6141	Aide, ward 
6141	Aide (hospital service) 
1171	Aide-de-Camp 
1171	Air-Marshal 
3311	Aircraftman 
3311	Aircraftwoman 
3311	Aircrew, master (armed forces) 
3311	Aircrewman 
3311	Airman, Force, Air, Royal 
8117	Airman, hot 
3311	Airman (armed forces) 
8123	Airwayman (mine: not coal) 
3311	Airwoman, Force, Air, Royal 
8131	Aligner (radio, television)
5223	Aligner (typewriters)
4159	Allocator, chalet 
8234	Allocator, traffic 
4131	Allocator 
8117	Alloyman (copper)
2442	Almoner 
8113	Alterer, loom 
8113	Alterer, pattern (carpet, rug mfr) 
8113	Alterer (textile mfr) 
9242	Ambassador, centre, city 
7219	Ambassador, student 
1115	Ambassador (Foreign and Commonwealth Office) 
6142	Ambulanceman 
2211	Anaesthetist, consultant 
2211	Anaesthetist 
3111	Analyser 
3534	Analyst, actions, corporate (bank) 
2462	Analyst, affairs, regulatory 
4129	Analyst, billing 
2135	Analyst, business, IT 
2135	Analyst, business (computing)
2423	Analyst, business 
2425	Analyst, campaign 
2423	Analyst, catastrophe 
3543	Analyst, chain, supply 
2111	Analyst, chief 
3539	Analyst, coding, clinical 
3534	Analyst, collateral 
8113	Analyst, colour (textile mfr) 
6222	Analyst, colour 
2423	Analyst, commercial 
2135	Analyst, comms, data 
2135	Analyst, comms, technical 
2135	Analyst, communications, data 
2426	Analyst, computer, forensic 
2135	Analyst, computer 
3131	Analyst, content 
3115	Analyst, control, quality 
4129	Analyst, cost 
2111	Analyst, county 
3534	Analyst, credit 
2426	Analyst, crime (police force) 
2136	Analyst, data (computing)
3539	Analyst, data 
2136	Analyst, database 
3132	Analyst, desk, service 
2425	Analyst, economic 
2129	Analyst, engineering 
3562	Analyst, evaluation, job 
3534	Analyst, finance 
3534	Analyst, financial 
3539	Analyst, forecast 
3319	Analyst, forensic 
3319	Analyst, fraud 
3111	Analyst, geophysical 
2114	Analyst, GIS, senior 
3539	Analyst, GIS 
3319	Analyst, handwriting 
2114	Analyst, health, public 
3132	Analyst, helpdesk 
2136	Analyst, implementation 
3539	Analyst, information, management 
2136	Analyst, information (computing)
2426	Analyst, information 
2426	Analyst, intelligence, criminal 
4133	Analyst, inventory 
3534	Analyst, investment 
3111	Analyst, laboratory 
3539	Analyst, logistics 
2135	Analyst, maintenance (computing: professional)
3131	Analyst, maintenance (computing)
3113	Analyst, maintenance (engineering) 
3539	Analyst, management 
3539	Analyst, market 
3543	Analyst, marketing 
3111	Analyst, material 
3111	Analyst, materials 
3543	Analyst, media 
3539	Analyst, methods 
2139	Analyst, network 
3539	Analyst, o and m 
2135	Analyst, operations (computing)
3539	Analyst, organisation and methods 
2129	Analyst, patent 
3539	Analyst, performance 
3562	Analyst, personnel 
3111	Analyst, pharmaceutical 
2425	Analyst, political 
3534	Analyst, pricing 
2136	Analyst, project, IT 
2111	Analyst, public 
2139	Analyst, quality (computing)
3115	Analyst, quality 
2425	Analyst, quantitative 
3543	Analyst, research, market 
3539	Analyst, research, operational 
3534	Analyst, risk, credit 
2423	Analyst, risk, financial 
2423	Analyst, risk 
3531	Analyst, scoring, credit 
2139	Analyst, security, IT 
3111	Analyst, seed 
8134	Analyst, sensory (food products mfr) 
2136	Analyst, software 
2426	Analyst, sports 
2425	Analyst, statistical 
3114	Analyst, stress (construction, engineering) 
3539	Analyst, study, work 
3132	Analyst, support, customer 
3132	Analyst, support, desktop 
3132	Analyst, support, PC 
3543	Analyst, support, sales 
3132	Analyst, support, systems 
3132	Analyst, support, technical 
3132	Analyst, support (computing)
2462	Analyst, surveillance, compliance 
2462	Analyst, surveillance, market 
3539	Analyst, system, business 
2135	Analyst, system 
3539	Analyst, systems, business 
2114	Analyst, systems, information, geographical, senior 
3539	Analyst, systems, information, geographical 
3539	Analyst, systems, office 
2135	Analyst, systems 
3539	Analyst, tachograph 
3535	Analyst, tax 
2135	Analyst, technical (computing)
2136	Analyst, technology, information 
2135	Analyst, telecommunications 
2139	Analyst, test (computing)
3539	Analyst, time and motion 
3122	Analyst, tool 
2423	Analyst, trading 
3563	Analyst, training 
3539	Analyst, value 
2135	Analyst, voice, communications 
2135	Analyst, warehouse, data 
2425	Analyst, web 
3543	Analyst (market research)
2136	Analyst (programming)
3539	Analyst (work study)
3539	Analyst (Defence Science and Technology Laboratory) 
3534	Analyst (financial services) 
2136	Analyst-programmer 
2112	Anatomist 
8117	Anchorer 
6125	Ancillary, classroom 
3239	Ancillary, service, probation 
6125	Ancillary, teaching (schools) 
6125	Ancillary (educational establishments) 
3421	Animator, 2D, computer 
3421	Animator, 2D 
3421	Animator, 3D, computer 
3421	Animator, 3D 
3421	Animator, computer 
3421	Animator, effects, visual 
3421	Animator, motion, stop 
3421	Animator, VFX 
3411	Animator 
8112	Annealer, pot 
8112	Annealer (ceramics)
8114	Annealer (chemicals)
8112	Annealer (glass)
8117	Annealer 
3413	Announcer (entertainment)
3413	Announcer (broadcasting) 
7214	Announcer (transport) 
8118	Anodiser 
2114	Anthropologist 
2114	Antiquary 
5119	Apiarist 
3219	Apothecary 
8139	Applicator, film 
9120	Applicator, mastic 
3539	Appraiser 
3531	Appraiser and valuer 
4159	Apprentice, commercial 
}}}}	Apprentice 
6139	Aquarist 
3532	Arbitragist 
3531	Arbitrator 
5119	Arboriculturist 
5119	Arborist 
2114	Archaeologist 
2444	Archbishop 
2444	Archdeacon 
5312	Archer, brick 
2423	Architect, business 
2431	Architect, chartered 
2135	Architect, data 
2135	Architect, database 
2135	Architect, datawarehouse 
2135	Architect, enterprise 
2135	Architect, information 
2135	Architect, infrastructure 
2135	Architect, IT 
2431	Architect, landscape 
2122	Architect, naval 
2135	Architect, network 
2136	Architect, software 
2135	Architect, solution, customer 
2135	Architect, solution, IT 
2135	Architect, solution 
2135	Architect, solutions, customer 
2135	Architect, solutions, IT 
2135	Architect, solutions 
2135	Architect, systems (computing)
2135	Architect, technical 
2135	Architect (computing)
2431	Architect 
2452	Archivist 
5312	Archman (brick)
5441	Archman (glass)
8129	Armourer, cable 
3312	Armourer, force 
8129	Armourer, hose 
5223	Armourer 
3219	Aromatherapist 
3239	Arranger, care (local government) 
3416	Arranger, fight 
5443	Arranger, floral 
5443	Arranger, flower 
6148	Arranger, funeral 
3534	Arranger, mortgage 
3415	Arranger, music 
5323	Artexer 
3113	Artificer (armed forces) 
3421	Artist, 3D 
6222	Artist, body 
3422	Artist, boot and shoe 
5432	Artist, cake 
5441	Artist, ceramic 
3421	Artist, commercial 
3421	Artist, computer 
3421	Artist, digital 
7125	Artist, display 
3421	Artist, effects, digital 
3421	Artist, effects, visual 
3411	Artist, fashion 
3413	Artist, film 
5443	Artist, floral 
3421	Artist, games, computer 
5441	Artist, glass, stained 
3421	Artist, graphic 
3421	Artist, layout 
3421	Artist, lettering 
3421	Artist, litho 
3421	Artist, lithographic 
3421	Artist, Mac 
6222	Artist, make-up 
3411	Artist, medical (hospital service) 
3413	Artist, over, voice 
5421	Artist, paste-up 
3417	Artist, photographic 
5441	Artist, pottery 
3411	Artist, press 
3413	Artist, recording 
9272	Artist, sandwich 
3411	Artist, scenic 
3422	Artist, shoe 
3421	Artist, stereo 
9279	Artist, striptease 
3421	Artist, technical 
6221	Artist, tonsorial 
3421	Artist, VFX 
3413	Artist (entertainment)
5441	Artist (ceramics decorating) 
5441	Artist (glass decorating) 
5449	Artist (mask mfr) 
3411	Artist 
3411	Artist and designer, fashion 
3411	Artist-designer 
3413	Artiste 
3421	Artworker 
8149	Asphalter, mastic 
8142	Asphalter 
2129	Assayer 
2129	Assayist 
8131	Assembler, accumulator 
5449	Assembler, action, piano 
8139	Assembler, action 
8131	Assembler, aerial 
8139	Assembler, aircraft 
8139	Assembler, ammeter 
8131	Assembler, apparatus (electricity supplier) 
8131	Assembler, armature 
8131	Assembler, Bakelite 
8131	Assembler, battery 
8131	Assembler, belt 
8139	Assembler, bench (engineering) 
8139	Assembler, bi-focal 
8139	Assembler, binocular 
8139	Assembler, block, carbon 
8131	Assembler, board, circuit, printed 
8132	Assembler, body (vehicle)
8139	Assembler, box 
8132	Assembler, brake 
8132	Assembler, brass 
8139	Assembler, brush, carbon 
8139	Assembler, brush 
8139	Assembler, cabinet 
8131	Assembler, cable 
8139	Assembler, camera 
8132	Assembler, car 
8139	Assembler, card (printing) 
8139	Assembler, carton 
8139	Assembler, case (electrical, electronic equipment mfr) 
8114	Assembler, cell (chemical mfr) 
8131	Assembler, change, record 
8139	Assembler, clock 
8139	Assembler, clothing 
8131	Assembler, coil 
8131	Assembler, commutator 
8131	Assembler, component (electrical, electronic)
8132	Assembler, component (mechanical)
8131	Assembler, components (electrical, electronic)
8132	Assembler, components (mechanical)
8131	Assembler, computer 
8142	Assembler, concrete 
8139	Assembler, conveyor 
8131	Assembler, cooker, electric 
8132	Assembler, cooker, gas 
8131	Assembler, core (electrical engineering) 
5212	Assembler, core (foundry) 
8139	Assembler, cosmetics 
8131	Assembler, crystal, quartz 
8139	Assembler, cutlery 
8132	Assembler, cycle 
8132	Assembler, detonator 
8139	Assembler, doll 
8131	Assembler, dynamo 
8131	Assembler, electrical 
8131	Assembler, electronic 
8131	Assembler, electronics 
8132	Assembler, engine 
8131	Assembler, equipment, video 
8139	Assembler, fencing 
8131	Assembler, filament 
5423	Assembler, film 
8132	Assembler, filter (machinery mfr) 
8131	Assembler, fire, electric 
8139	Assembler, firework 
8139	Assembler, flask, vacuum 
5413	Assembler, footwear 
8132	Assembler, frame, bed 
8139	Assembler, frame, spectacle 
8139	Assembler, frame (engineering) 
8139	Assembler, furniture 
9260	Assembler, grocer's 
8131	Assembler, gun (hand)
8132	Assembler, gun 
8113	Assembler, harness, jacquard 
8131	Assembler, instrument, electrical 
8139	Assembler, instrument, optical 
8131	Assembler, instrument, telephone 
8139	Assembler, instrument 
8132	Assembler, jewellery 
8131	Assembler, lamp, electric 
8132	Assembler, lamp 
8139	Assembler, ligature, surgical 
9260	Assembler, load 
8132	Assembler, lock 
8132	Assembler, machine 
8131	Assembler, magnet 
8139	Assembler, mattress 
8139	Assembler, meter 
8131	Assembler, motor (electric)
8132	Assembler, motor (engineering) 
5421	Assembler, mould (monotype)
5423	Assembler, negative (films)
8139	Assembler, optical 
9260	Assembler, order 
8139	Assembler, pad, stamp 
8131	Assembler, PCB 
8139	Assembler, pen 
5449	Assembler, pianoforte 
8139	Assembler, plastics 
8139	Assembler, poppy 
8139	Assembler, pottery 
8131	Assembler, radar 
8131	Assembler, radio 
8131	Assembler, recorder, video 
8131	Assembler, rectifier 
8132	Assembler, refrigerator 
8131	Assembler, relay 
8132	Assembler, rifle 
8132	Assembler, seat, spring 
8131	Assembler, sign, neon 
8132	Assembler, spring 
8131	Assembler, stator 
8131	Assembler, stove (electric)
8132	Assembler, stove 
8131	Assembler, switchboard 
8131	Assembler, switchgear 
8131	Assembler, system, stereo 
8131	Assembler, telephone 
8131	Assembler, television 
8131	Assembler, temple 
8139	Assembler, toy 
8139	Assembler, transformer 
8139	Assembler, trim 
8132	Assembler, tub 
8139	Assembler, tube (plastics goods mfr) 
8139	Assembler, umbrella 
8132	Assembler, valve (engineer's valves)
8131	Assembler, valve 
8132	Assembler, vehicle, motor 
9260	Assembler, warehouse 
8139	Assembler, watch 
5449	Assembler, wax (aircraft mfr) 
8139	Assembler, woodwork 
