occupation	major group	sub-major Group	minor group	Group Title
4114	4	41	411	Officers of non-governmental organisations
4121	4	41	412	Credit controllers
4122	4	41	412	Book-keepers, payroll managers and wages clerks
4123	4	41	412	Bank and post office clerks
4124	4	41	412	Finance officers
4129	4	41	412	Financial administrative occupations n.e.c.
4131	4	41	413	Records clerks and assistants
4132	4	41	413	Pensions and insurance clerks and assistants
4133	4	41	413	Stock control clerks and assistants
4134	4	41	413	Transport and distribution clerks and assistants
4135	4	41	413	Library clerks and assistants
4138	4	41	413	Human resources administrative occupations
4151	4	41	415	Sales administrators
4159	4	41	415	Other administrative occupations n.e.c.
4161	4	41	416	Office managers
4162	4	41	416	Office supervisors
4211	4	42	421	Medical secretaries
4212	4	42	421	Legal secretaries
4213	4	42	421	School secretaries
4214	4	42	421	Company secretaries
4215	4	42	421	Personal assistants and other secretaries
4216	4	42	421	Receptionists
4217	4	42	421	Typists and related keyboard occupations
5111	5	51	511	Farmers
5112	5	51	511	Horticultural trades
5113	5	51	511	Gardeners and landscape gardeners
5114	5	51	511	Groundsmen and greenkeepers
5119	5	51	511	Agricultural and fishing trades n.e.c.
5211	5	52	521	Smiths and forge workers
5212	5	52	521	Moulders, core makers and die casters
5213	5	52	521	Sheet metal workers
5214	5	52	521	Metal plate workers, and riveters
5215	5	52	521	Welding trades
5216	5	52	521	Pipe fitters
5221	5	52	522	Metal machining setters and setter-operators
5222	5	52	522	Tool makers, tool fitters and markers-out
5223	5	52	522	Metal working production and maintenance fitters
5224	5	52	522	Precision instrument makers and repairers
5225	5	52	522	Air-conditioning and refrigeration engineers
5231	5	52	523	Vehicle technicians, mechanics and electricians
5232	5	52	523	Vehicle body builders and repairers
5234	5	52	523	Vehicle paint technicians
5235	5	52	523	Aircraft maintenance and related trades
5236	5	52	523	Boat and ship builders and repairers
5237	5	52	523	Rail and rolling stock builders and repairers
5241	5	52	524	Electricians and electrical fitters
5242	5	52	524	Telecommunications engineers
5244	5	52	524	TV, video and audio engineers
5245	5	52	524	IT engineers
5249	5	52	524	Electrical and electronic trades n.e.c.
5250	5	52	525	Skilled metal, electrical and electronic trades supervisors
5311	5	53	531	Steel erectors
5312	5	53	531	Bricklayers and masons
5313	5	53	531	Roofers, roof tilers and slaters
5314	5	53	531	Plumbers and heating and ventilating engineers
5315	5	53	531	Carpenters and joiners
5316	5	53	531	Glaziers, window fabricators and fitters
5319	5	53	531	Construction and building trades n.e.c.
5321	5	53	532	Plasterers
5322	5	53	532	Floorers and wall tilers
5323	5	53	532	Painters and decorators
5330	5	53	533	Construction and building trades supervisors
5411	5	54	541	Weavers and knitters
5412	5	54	541	Upholsterers
5413	5	54	541	Footwear and leather working trades
5414	5	54	541	Tailors and dressmakers
5419	5	54	541	Textiles, garments and related trades n.e.c.
5421	5	54	542	Pre-press technicians
5422	5	54	542	Printers
5423	5	54	542	Print finishing and binding workers
5431	5	54	543	Butchers
5432	5	54	543	Bakers and flour confectioners
5433	5	54	543	Fishmongers and poultry dressers
5434	5	54	543	Chefs
5435	5	54	543	Cooks
5436	5	54	543	Catering and bar managers
5441	5	54	544	Glass and ceramics makers, decorators and finishers
5442	5	54	544	Furniture makers and other craft woodworkers
5443	5	54	544	Florists
5449	5	54	544	Other skilled trades n.e.c.
6121	6	61	612	Nursery nurses and assistants
6122	6	61	612	Childminders and related occupations
6123	6	61	612	Playworkers
6125	6	61	612	Teaching assistants
6126	6	61	612	Educational support assistants
6131	6	61	613	Veterinary nurses
6132	6	61	613	Pest control officers
6139	6	61	613	Animal care services occupations n.e.c.
6141	6	61	614	Nursing auxiliaries and assistants
6142	6	61	614	Ambulance staff (excluding paramedics)
6143	6	61	614	Dental nurses
6144	6	61	614	Houseparents and residential wardens
6145	6	61	614	Care workers and home carers
6146	6	61	614	Senior care workers
6147	6	61	614	Care escorts
6148	6	61	614	Undertakers, mortuary and crematorium assistants
6211	6	62	621	Sports and leisure assistants
6212	6	62	621	Travel agents
6214	6	62	621	Air travel assistants
6215	6	62	621	Rail travel assistants
6219	6	62	621	Leisure and travel service occupations n.e.c.
6221	6	62	622	Hairdressers and barbers
6222	6	62	622	Beauticians and related occupations
6231	6	62	623	Housekeepers and related occupations
6232	6	62	623	Caretakers
6240	6	62	624	Cleaning and housekeeping managers and supervisors
7111	7	71	711	Sales and retail assistants
7112	7	71	711	Retail cashiers and check-out operators
7113	7	71	711	Telephone salespersons
7114	7	71	711	Pharmacy and other dispensing assistants
7115	7	71	711	Vehicle and parts salespersons and advisers
7121	7	71	712	Collector salespersons and credit agents
7122	7	71	712	Debt, rent and other cash collectors
7123	7	71	712	Roundspersons and van salespersons
7124	7	71	712	Market and street traders and assistants
7125	7	71	712	Merchandisers and window dressers
7129	7	71	712	Sales related occupations n.e.c.
7130	7	71	713	Sales supervisors
7211	7	72	721	Call and contact centre occupations
7213	7	72	721	Telephonists
7214	7	72	721	Communication operators
7215	7	72	721	Market research interviewers
7219	7	72	721	Customer service occupations n.e.c.
7220	7	72	722	Customer service managers and supervisors
8111	8	81	811	Food, drink and tobacco process operatives
8112	8	81	811	Glass and ceramics process operatives
8113	8	81	811	Textile process operatives
8114	8	81	811	Chemical and related process operatives
8115	8	81	811	Rubber process operatives
8116	8	81	811	Plastics process operatives
8117	8	81	811	Metal making and treating process operatives
8118	8	81	811	Electroplaters
8119	8	81	811	Process operatives n.e.c.
8121	8	81	812	Paper and wood machine operatives
8122	8	81	812	Coal mine operatives
8123	8	81	812	Quarry workers and related operatives
8124	8	81	812	Energy plant operatives
8125	8	81	812	Metal working machine operatives
8126	8	81	812	Water and sewerage plant operatives
8127	8	81	812	Printing machine assistants
8129	8	81	812	Plant and machine operatives n.e.c.
8131	8	81	813	Assemblers (electrical and electronic products)
8132	8	81	813	Assemblers (vehicles and metal goods)
8133	8	81	813	Routine inspectors and testers
8134	8	81	813	Weighers, graders and sorters
8135	8	81	813	Tyre, exhaust and windscreen fitters
8137	8	81	813	Sewing machinists
8139	8	81	813	Assemblers and routine operatives n.e.c.
8141	8	81	814	Scaffolders, stagers and riggers
8142	8	81	814	Road construction operatives
8143	8	81	814	Rail construction and maintenance operatives
8149	8	81	814	Construction operatives n.e.c.
8211	8	82	821	Large goods vehicle drivers
8212	8	82	821	Van drivers
8213	8	82	821	Bus and coach drivers
8214	8	82	821	Taxi and cab drivers and chauffeurs
8215	8	82	821	Driving instructors
8221	8	82	822	Crane drivers
8222	8	82	822	Fork-lift truck drivers
8223	8	82	822	Agricultural machinery drivers
8229	8	82	822	Mobile machine drivers and operatives n.e.c.
8231	8	82	823	Train and tram drivers
8232	8	82	823	Marine and waterways transport operatives
8233	8	82	823	Air transport operatives
8234	8	82	823	Rail transport operatives
8239	8	82	823	Other drivers and transport operatives n.e.c.
9111	9	91	911	Farm workers
9112	9	91	911	Forestry workers
9119	9	91	911	Fishing and other elementary agriculture occupations n.e.c.
9120	9	91	912	Elementary construction occupations
9132	9	91	913	Industrial cleaning process occupations
9134	9	91	913	Packers, bottlers, canners and fillers
9139	9	91	913	Elementary process plant occupations n.e.c.
9211	9	92	921	Postal workers, mail sorters, messengers and couriers
9219	9	92	921	Elementary administration occupations n.e.c.
9231	9	92	923	Window cleaners
9232	9	92	923	Street cleaners
9233	9	92	923	Cleaners and domestics
9234	9	92	923	Launderers, dry cleaners and pressers
9235	9	92	923	Refuse and salvage occupations
9236	9	92	923	Vehicle valeters and cleaners
9239	9	92	923	Elementary cleaning occupations n.e.c.
9241	9	92	924	Security guards and related occupations
9242	9	92	924	Parking and civil enforcement occupations
9244	9	92	924	School midday and crossing patrol occupations
9249	9	92	924	Elementary security occupations n.e.c.
9251	9	92	925	Shelf fillers
9259	9	92	925	Elementary sales occupations n.e.c.
9260	9	92	926	Elementary storage occupations
9271	9	92	927	Hospital porters
9272	9	92	927	Kitchen and catering assistants
9273	9	92	927	Waiters and waitresses
9274	9	92	927	Bar staff
9275	9	92	927	Leisure and theme park attendants
9279	9	92	927	Other elementary services occupations n.e.c.
